epoch,accuracy,loss,val_accuracy,val_loss
0,0.3581511080265045,1.3290446996688843,0.4121037423610687,1.287550926208496
1,0.6293938755989075,1.0158390998840332,0.6426513195037842,0.9660106897354126
2,0.7904788255691528,0.5874316692352295,0.6887608170509338,0.7797466516494751
3,0.848602294921875,0.40885838866233826,0.6916426420211792,0.760560154914856
4,0.8870744705200195,0.32101407647132874,0.6829971075057983,0.8086667656898499
5,0.9169664978981018,0.254976361989975,0.6945244669914246,0.8536052703857422
6,0.9291447401046753,0.21244925260543823,0.6743515729904175,0.9421970844268799
7,0.947965681552887,0.17480741441249847,0.7002881765365601,0.9969227313995361
8,0.9565458297729492,0.14792926609516144,0.6772334575653076,1.049282431602478
9,0.9604207277297974,0.12917350232601166,0.6743515729904175,1.1199954748153687
10,0.9665098190307617,0.11749078333377838,0.6772334575653076,1.145133137702942
11,0.9670633673667908,0.10163695365190506,0.7089337110519409,1.1800483465194702
12,0.972045361995697,0.09284544736146927,0.6743515729904175,1.2836955785751343
13,0.973429262638092,0.08627829700708389,0.6858789920806885,1.2871423959732056
14,0.9748131632804871,0.08096987009048462,0.6714697480201721,1.3464903831481934
15,0.9767506122589111,0.07915377616882324,0.6829971075057983,1.3472630977630615
16,0.976473867893219,0.07629982382059097,0.6887608170509338,1.378678560256958
17,0.9753667116165161,0.07305566966533661,0.6772334575653076,1.443519115447998
18,0.9761970639228821,0.06966076791286469,0.6916426420211792,1.4298183917999268
19,0.975089967250824,0.06748098880052567,0.6887608170509338,1.4338748455047607
20,0.976473867893219,0.06459758430719376,0.6743515729904175,1.4806476831436157
21,0.9778577089309692,0.06275423616170883,0.6829971075057983,1.5032607316970825
22,0.9778577089309692,0.05906720086932182,0.6772334575653076,1.4963788986206055
23,0.9800719618797302,0.05373520031571388,0.6829971075057983,1.5559829473495483
24,0.9778577089309692,0.05415358766913414,0.6916426420211792,1.5552369356155396
